Word,Plural
business,businesses
process,processes
class,classes
basis,bases
series,series
news,
success,successes
analysis,analyses
loss,losses
press,presses
access,accesses
species,species
glass,glasses
status,statuses
progress,progresses
gas,gases
crisis,crises
congress,congresses
emphasis,emphases
bus,buses
address,addresses
cross,crosses
jones,joneses
grass,grasses
dress,dresses
stress,stresses
lewis,lewises
focus,foci
mass,masses
awareness,awarenesses
illness,illnesses
earnings,
darkness,darknesses
boss,bosses
economics,
princess,princesses
tennis,tennises
consciousness,consciousnesses
louis,louis
effectiveness,effectivenesses
mathematics,
harris,
mess,messes
ross,ross
jews,
consensus,consensuses
morris,morrises
excess,excesses
witness,witnesses
diagnosis,diagnoses
weakness,weaknesses
ms,ms
hypothesis,hypotheses
happiness,happinesses
chaos,chaoses
fitness,fitnesses
virus,viruses
distress,distresses
brass,brasses
stimulus,stimuli
goodness,goodnesses
bonus,bonuses
bias,biases
les,leses
surplus,surpluses
thesis,theses
synthesis,syntheses
sickness,sicknesses
willingness,willingnesses
corps,corps
apparatus,apparatuses
collins,collinses
canvas,canvasses
mistress,mistresses
actress,
genius,geniuses
axis,axes
census,censuses
colitis,colitises
texas,texases
jacques,jacques
chorus,choruses
dealings,
lotus,lotuses
iris,irises
travis,traves
hastings,
moss,mosses
duchess,duchesses
madness,madnesses
fuss,fusses
sadness,sadnesses
debris,
corpus,corpora
circus,circuses
thickness,thicknesses
fairness,fairnesses
kindness,kindnesses
bitterness,bitternesses
wilderness,wildernesses
dickens,
hepatitis,hepatitises
nucleus,nuclei
diabetes,
impetus,impetuses
radius,radii
campus,campuses
chess,chesses
ps,
saunders,
syllabus,syllabi
readiness,readinesses
genesis,geneses
compass,compasses
loneliness,lonelinesses
competitiveness,
goddess,goddesses
seriousness,seriousnesses
bypass,bypasses
venus,venuses
jess,jesses
binoculars,
penis,penises
usefulness,usefulnesses
countess,countesses
oesophagus,oesophagi
fortress,fortresses
siemens,siemens
openness,opennesses
arthritis,arthritides
mattress,mattresses
psychoanalysis,psychoanalyses
ethos,ethe
locus,loci
forgiveness,forgivenesses
exodus,exoduses
cannabis,cannabises
lass,lasses
tallis,tallises
richness,richnesses
gis,gis
burgess,burgesses
brightness,brightnesses
reasonableness,reasonablenesses
bliss,blisses
empress,empresses
hostess,
genus,genera
tenderness,tendernesses
blackness,blacknesses
tuberculosis,tuberculoses
gloss,glosses
knickers,
stillness,stillnesses
homelessness,homelessnesses
harness,harnesses
gastritis,gastritides
pancreatitis,pancreatitises
closeness,closenesses
chassis,chassis
faeces,
unhappiness,unhappinesses
nervousness,nervousnesses
hardness,hardnesses
aerobics,
emptiness,emptinesses
marquis,marquises
asbestos,asbestoses
ass,asses
sweetness,sweetnesses
cleanliness,cleanlinesses
fungus,fungi
blindness,blindnesses
os,ossa
sharpness,sharpnesses
bollocks,
fibrosis,fibroses
greatness,greatnesses
terminus,termini
es,esses
tiredness,tirednesses
prospectus,prospectuses
unwillingness,unwillingnesses
prowess,prowesses
oesophagitis,oesophagitis
pathogenesis,
waitress,
attractiveness,attractivenesses
syphilis,
highness,
atlas,atlases
piss,pisses
prognosis,prognoses
hypnosis,hypnoses
underclass,underclasses
headmistress,headmistresses
softness,softnesses
minibus,minibuses
likeness,likenesses
modulus,moduli
baroness,baronesses
onus,onuses
uniqueness,uniquenesses
fullness,fullnesses
politeness,politenesses
rendezvous,rendezvous
stiffness,stiffnesses
meningitis,meningitides
helplessness,helplessnesses
mucus,mucuses
appropriateness,
metropolis,metropolises
recess,recesses
eagerness,eagernesses
coldness,coldnesses
trespass,trespasses
foetus,foetuses
friendliness,friendlinesses
ness,nesses
freshness,freshnesses
gentleness,gentlenesses
paralysis,paralyses
thesaurus,thesauri
cholangitis,cholangitides
selfishness,selfishnesses
tardis,tardises
distinctiveness,distinctivenesses
completeness,completenesses
airbus,airbusses
hiss,hisses
pelvis,pelvises
toss,tosses
deixis,deixes
psychosis,psychoses
antithesis,antitheses
phosphorus,phosphoruses
pancreas,pancreases
duress,
judas,judases
heiress,heiresses
biomass,biomasses
droppings,
lightness,lightnesses
correctness,correctnesses
remoteness,remotenesses
cypress,cypresses
shyness,shynesses
righteousness,righteousnesses
toughness,toughnesses
carelessness,carelessnesses
nightdress,nightdresses
holiness,holinesses
governess,
deafness,deafnesses
sclerosis,scleroses
octopus,octopuses
assertiveness,assertivenesses
hopelessness,hopelessnesses
pons,pontes
bronchitis,bronchitises
jacobs,
responsiveness,responsivenesses
photosynthesis,photosyntheses
pegasus,pegasuses
cirrhosis,cirrhoses
marquess,marquesses
weariness,wearinesses
buttress,buttresses
wickedness,wickednesses
recklessness,recklessnesses
mavis,mavises
fondness,fondnesses
drunkenness,drunkennesses
ras,rases
slowness,slownesses
whiteness,whitenesses
firmness,firmnesses
uterus,uteri
idleness,idlenesses
missus,missuses
unfairness,unfairnesses
self-consciousness,
celsius,celsius
indebtedness,indebtednesses
underpants,
tetanus,tetani
smoothness,smoothnesses
aegis,aegises
abyss,abysses
anus,anuses
tectonics,
bedclothes,
harshness,harshnesses
powerlessness,powerlessnesses
restlessness,restlessnesses
carcass,carcasses
strangeness,strangenesses
patois,patois
coolness,coolnesses
electrophoresis,electrophoreses
nakedness,nakednesses
neurosis,neuroses
vagueness,vaguenesses
omnibus,omnibuses
detritus,detritus
fetus,fetuses
wholeness,wholenesses
quietness,quietnesses
directness,directnesses
ugliness,uglinesses
tass,tasses
dryness,drynesses
madras,madrases
tightness,tightnesses
calculus,calculi
caress,caresses
dampness,dampnesses
